,img,Excellent,Good,Adequate,Insuff_for_full,Insuff_for_any,labels,Redfree,other
0,207521_1350712.JPG,0,1,0,0,0,0,,
1,207521_1350713.JPG,0,1,0,0,0,0,,
2,207521_1350715.JPG,1,0,0,0,0,0,,
3,207521_1350716.JPG,0,1,0,0,0,0,,
4,207521_1350717.JPG,0,1,0,0,0,0,,
5,207526_1350744.JPG,0,1,0,0,0,0,,
6,207526_1350745.JPG,0,0,1,0,0,0,,
7,207526_1350746.JPG,0,0,1,0,0,0,,
8,207526_1350747.JPG,0,1,0,0,0,0,,
9,207526_1350749.JPG,0,1,0,0,0,0,,
10,207526_1350750.JPG,0,0,1,0,0,0,,
11,207526_1350751.JPG,0,1,0,0,0,0,,
12,207526_1350752.JPG,0,0,1,0,0,0,,
13,207527_1350754.JPG,0,1,0,0,0,0,,
14,207527_1350755.JPG,0,1,0,0,0,0,,
15,207527_1350756.JPG,0,0,1,0,0,0,,
16,207527_1350758.JPG,0,1,0,0,0,0,,
17,207527_1350759.JPG,0,1,0,0,0,0,,
18,207527_1350760.JPG,0,0,0,1,0,1,,
19,207527_1350761.JPG,0,1,0,0,0,0,,
20,207530_1350782.JPG,0,1,0,0,0,0,,
21,207530_1350783.JPG,0,0,1,0,0,0,,
22,207530_1350784.JPG,0,0,1,0,0,0,,
23,207530_1350786.JPG,0,1,0,0,0,0,,
24,207530_1350787.JPG,0,0,1,0,0,0,,
25,207530_1350788.JPG,0,1,0,0,0,0,,
26,207530_1350797.JPG,0,1,0,0,0,0,,
27,207530_1350798.JPG,0,0,1,0,0,0,,
28,207530_1350799.JPG,0,1,0,0,0,0,,
29,207686_1352043.JPG,0,1,0,0,0,0,,
30,207686_1352044.JPG,0,1,0,0,0,0,,
31,207686_1352045.JPG,0,0,1,0,0,0,,
32,207686_1352047.JPG,1,0,0,0,0,0,,
33,207686_1352048.JPG,0,1,0,0,0,0,,
34,207686_1352049.JPG,0,0,1,0,0,0,,
35,200935_1302202.JPG,1,0,0,0,0,0,,
36,202184_1311426.JPG,1,0,0,0,0,0,,
37,202184_1311427.JPG,1,0,0,0,0,0,,
38,202185_1311428.JPG,1,0,0,0,0,0,,
39,202185_1311429.JPG,1,0,0,0,0,0,,
40,202186_1311430.JPG,1,0,0,0,0,0,,
41,202186_1311431.JPG,1,0,0,0,0,0,,
42,204578_1329734.JPG,1,0,0,0,0,0,,
43,204584_1331461.JPG,1,0,0,0,0,0,,
44,204586_1332339.JPG,1,0,0,0,0,0,,
45,204586_1332343.JPG,1,0,0,0,0,0,,
46,204587_1332335.JPG,1,0,0,0,0,0,,
47,204592_1332323.JPG,1,0,0,0,0,0,,
48,204592_1332327.JPG,1,0,0,0,0,0,,
49,204595_1332307.JPG,1,0,0,0,0,0,,
50,204596_1332299.JPG,1,0,0,0,0,0,,
51,204596_1332303.JPG,1,0,0,0,0,0,,
52,204821_1332288.JPG,1,0,0,0,0,0,,
53,204865_1332219.JPG,1,0,0,0,0,0,,
54,204932_1332261.JPG,1,0,0,0,0,0,,
55,204934_1332269.JPG,1,0,0,0,0,0,,
56,204934_1332273.JPG,1,0,0,0,0,0,,
57,205705_1338323.JPG,1,0,0,0,0,0,,
58,205718_1338427.JPG,1,0,0,0,0,0,,
59,205778_1338892.JPG,1,0,0,0,0,0,,
60,205781_1338914.JPG,1,0,0,0,0,0,,
61,206012_1340357.JPG,1,0,0,0,0,0,,
62,206012_1340361.JPG,1,0,0,0,0,0,,
63,206067_1340790.JPG,1,0,0,0,0,0,,
64,206071_1340823.JPG,1,0,0,0,0,0,,
65,206071_1340827.JPG,1,0,0,0,0,0,,
