,img,Excellent,Good,Adequate,Insuff_for_full,Insuff_for_any,labels,Redfree,other
0,207521_1350712.JPG,0,1,0,0,0,1,,
1,207521_1350713.JPG,0,1,0,0,0,1,,
2,207521_1350715.JPG,1,0,0,0,0,0,,
3,207521_1350716.JPG,0,1,0,0,0,1,,
4,207521_1350717.JPG,0,1,0,0,0,1,,
5,207526_1350744.JPG,0,1,0,0,0,1,,
6,207526_1350745.JPG,0,0,1,0,0,1,,
7,207526_1350746.JPG,0,0,1,0,0,1,,
8,207526_1350747.JPG,0,1,0,0,0,1,,
9,207526_1350749.JPG,0,1,0,0,0,1,,
10,207526_1350750.JPG,0,0,1,0,0,1,,
11,207526_1350751.JPG,0,1,0,0,0,1,,
12,207526_1350752.JPG,0,0,1,0,0,1,,
13,207527_1350754.JPG,0,1,0,0,0,1,,
14,207527_1350755.JPG,0,1,0,0,0,1,,
15,207527_1350756.JPG,0,0,1,0,0,1,,
16,207527_1350758.JPG,0,1,0,0,0,1,,
17,207527_1350759.JPG,0,1,0,0,0,1,,
18,207527_1350760.JPG,0,0,0,1,0,2,,
19,207527_1350761.JPG,0,1,0,0,0,1,,
20,207530_1350782.JPG,0,1,0,0,0,1,,
21,207530_1350783.JPG,0,0,1,0,0,1,,
22,207530_1350784.JPG,0,0,1,0,0,1,,
23,207530_1350786.JPG,0,1,0,0,0,1,,
24,207530_1350787.JPG,0,0,1,0,0,1,,
25,207530_1350788.JPG,0,1,0,0,0,1,,
26,207530_1350797.JPG,0,1,0,0,0,1,,
27,207530_1350798.JPG,0,0,1,0,0,1,,
28,207530_1350799.JPG,0,1,0,0,0,1,,
29,207686_1352043.JPG,0,1,0,0,0,1,,
30,207686_1352044.JPG,0,1,0,0,0,1,,
31,207686_1352045.JPG,0,0,1,0,0,1,,
32,207686_1352047.JPG,1,0,0,0,0,0,,
33,207686_1352048.JPG,0,1,0,0,0,1,,
34,207686_1352049.JPG,0,0,1,0,0,1,,
35,200935_1302202.JPG,1,0,0,0,0,0,,
36,202184_1311426.JPG,1,0,0,0,0,0,,
37,202184_1311427.JPG,1,0,0,0,0,0,,
38,202185_1311428.JPG,1,0,0,0,0,0,,
39,202185_1311429.JPG,1,0,0,0,0,0,,
40,202186_1311430.JPG,1,0,0,0,0,0,,
41,202186_1311431.JPG,1,0,0,0,0,0,,
42,204578_1329734.JPG,1,0,0,0,0,0,,
43,204584_1331461.JPG,1,0,0,0,0,0,,
44,204586_1332339.JPG,1,0,0,0,0,0,,
45,204586_1332343.JPG,1,0,0,0,0,0,,
